"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",10068787
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",10596631
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",10564760
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",7662078
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",16461680
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",48788644
"1ST","1ST GROUP LIMITED","Health Care Equipment & Services","09/06/2015",11335930
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",10678375
"29M","29METALS LIMITED","Materials","02/07/2021",373613426
"360","LIFE360 INC.","Software & Services","10/05/2019",1527766650
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",50021426
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",65069396
"3MF","3D METALFORGE LIMITED","Commercial & Professional Services","02/03/2021","SUSPENDED"
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",309662270
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",50608840
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",236415812
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",254061853
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",42978629
"88E","88 ENERGY LIMITED","Energy","20/01/2000",140755078
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",18823972
"8IH","8I HOLDINGS LTD","Financial Services","17/12/2014",8576544
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",12573427
"92E","92 ENERGY LIMITED","Energy","15/04/2021",31976876
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",280251164
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",9312117
"A1M","AIC MINES LIMITED","Materials","04/11/1993",180267513
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",317020137
"A2B","A2B AUSTRALIA LIMITED","Transportation","14/12/1999",175784490
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",3674858929
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",4670353
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",982187960
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",8339279
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",886067118
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",8436680
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",5796890
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",57584244
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",20071325
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",250190567
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",656003725
"ABC","ADBRI LIMITED","Materials","31/05/1962",1613723971
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",22971712
"ABP","ABACUS PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",2368192727
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",15178678
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",22359081
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",88272930
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACB","A-CAP ENERGY LIMITED","Energy","19/05/2006",62854189
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",79979084
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","Capital Goods","27/06/2008",206412768
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",629722127
"ACM","AUSTRALIAN CRITICAL MINERALS LIMITED","Class Pend","03/07/2023",9141565
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",7613498
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",90408923
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",13544246
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",5204400
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",15926746
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",65385077
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",4112845
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",682351406
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",43829369
"ADC","ACDC METALS LTD","Materials","17/01/2023",5712105
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",13081515
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",5366901
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",284668865
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",111969754
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",79947603
"ADR","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015",19997633
"ADS","ADSLOT LTD.","Software & Services","17/12/1987",9799851
"ADT","ADRIATIC METALS PLC","Materials","01/05/2018",983683826
"ADV","ARDIDEN LTD","Materials","25/10/2005",17474180
"ADX","ADX ENERGY LTD","Energy","29/01/1987",25271497
"ADY","ADMIRALTY RESOURCES NL.","Materials","01/12/1983",9125054
"AE1","AERISON GROUP LTD","Capital Goods","12/07/2021","SUSPENDED"
"AEE","AURA ENERGY LIMITED","Energy","30/05/2006",129461683
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","Financial Services","17/12/2002",404887567
"AEI","AERIS ENVIRONMENTAL LTD","Commercial & Professional Services","12/09/2000",6141114
"AER","AEERIS LTD","Media & Entertainment","01/04/2015",8590063
"AEV","AVENIRA LIMITED","Materials","10/10/2006",26815112
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",49921045
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",483762378
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8806475167
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",18069126
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",357593947
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010",2218210
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",5800000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",21430897
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",115707163
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",19064429
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",363737443
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",8072966796
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",37373312
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",9544794
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",540696887
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",50888279
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",14429070
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",46806353
"AHK","ARK MINES LIMITED","Materials","09/05/2011",14053951
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",75814276
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",5352338
"AHQ","ALLEGIANCE COAL LIMITED","Materials","29/05/2012","SUSPENDED"
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",92252791
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",11147212107
"AIB","AURORA GLOBAL INCOME TRUST","Not Applic","24/12/2007","SUSPENDED"
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",133815536
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",54144774
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",42743592
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",269468782
