title,exercise_info,how_to,benefits,muscle_groups,equipment,muscle_img,muscle_worked,exercise_img
Weighted Lateral Neck Flexion,,,"The weighted lateral neck flexion is an effective neck exercise designed to develop and strengthen the muscles at the side of your neck. Thanks to its strong neck muscles, it makes the neck much more versatile, increasing the range of motion, relaxing the neck and making it strong against injuries.
SternocleidomastoidThe sternocleidomastoid is a muscle in your neck commonly associated with poor hunched posture and neck pain. This muscle (SCM) functions to bend the neck forward and to the sides, as well as turn the head to the left and right. There are several symptoms of SCM syndrome, these are; It shows symptoms such as dull aches and pains in neck, neck stiffness, sharp pains in neck, decreased range of motion of the neck. Weighted lateral neck flexion will strengthen your neck muscles to release tension in the sternocleidomastoid muscle, increase movement and decrease neck pain. Having a strong neck will stabilize your head and reduce your risk of neck injury.","{'primary': 'Neck, '}","Full Gym, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Sternocleidomastoid': '100%', 'Synergists - Splenius': '80%', 'Synergists - Levator Scapulae': '80%', 'Synergists - Trapezius, Upper': '80%', 'Synergists - Erector Spinae': '80%'}",/user/downloads/Lying-Weighted-Lateral-Neck-Flexion.gif
Weighted Lying Neck Extension,,,"This exercise is an effective neck exercise designed to develop and strengthen the muscles at the back of your neck. Thanks to its strong neck muscles, it makes the neck much more versatile, increasing the range of motion, relaxing the neck and making it strong against injuries.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck strengthening exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Splenius': '100%', 'Trapezius, Upper': '80%', 'Levator Scapulae': '80%', 'Sternocleidomastoid': '80%'}",/user/downloads/Weighted-Lying-Neck-Extension.gif
Weighted Lying Neck Flexion,,,"This exercise will build the front of the neck and thicken the sternocleidomastoid, which will make your neck appear very thick and wide from the front. Thanks to its strong neck muscles, it makes the neck much more versatile, increasing the range of motion, relaxing the neck and making it strong against injuries.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, ",/user/downloads/Neck-Stretch-muscle-worked.png,{'Sternocleidomastoid': '100%'},/user/downloads/Weighted-Lying-Neck-Flexion.gif
Gittleson Shrug,,,"The Gittleson shrug is another variation of the dumbbell shrug used to build the trapezius muscles. The Gittleson shrug emphasizes the contraction of the upper trapezius muscle by isolating the muscle and working it in a one-way fashion.
Allow your loaded side shoulder to drop down as far as possible. This puts a stretch on your left upper trap and, because of the way you’re leaning, it also puts an intense isometric contraction in your right upper trap. Although it seems like a one-way exercise, an isometric contraction occurs on the other side as one side moves.
A strong and tight trapezius muscle supports your neck by preventing your head from falling forward and allows you to stand upright. It is a practical exercise that can be applied especially for those who work at the desk in the office.","{'primary': 'Neck, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}",/user/downloads/Dumbbell-Seated-Gittleson-Shrug.gif
Diagonal Neck Stretch,,"How to Diagonal flexion: Turn your neck diagonally towards the right side at a 45-degree angle. Once you turn your head, bring your right hand up and hold the head. Proceed to stretch the left side of the neck. Repeat the same practice on the left side and stretch the right side of the neck. Hold this pose for 15 – 20 seconds.","Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Levator Scapula': '100%', 'Longissimus Capitis': '100%', 'Longissimus Cervicis': '100%', 'Semispinalis Capitis': '100%', 'Semispinalis Cervicis': '100%', 'Spinalis Cervicis': '100%', 'Spinalis Capitis': '100%', 'Splenius Capitis': '100%', 'Sternocleidomastoideus': '100%', 'Trapezius': '100%', 'Rhomboid': '100%'}",/user/downloads/Diagonal-Neck-Stretch.png
Neck Rotation Stretch,,How to Neck Rotation: Gently turn the head to the left while feeling for a stretch in the neck. Hold the position for 20 seconds. Return the head in original position and turn gently to the opposite side on the right. Hold again for 20 seconds. Repeat the procedure twice.,"Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Longissimus Capitis': '100%', 'Semispinalis Capitis': '100%', 'Splenius Capitis': '100%', 'Sternocleidomastoideus': '100%', 'Levator Scapula': '100%', 'Trapezius': '100%'}",/user/downloads/Rotating-Neck-Stretch.gif
Neck Flexion Stretch,,"How to Neck Flexion: Slowly tilt your head forward, bringing your chin toward your chest and allowing the weight of your head to create a gentle stretch along the back of your neck.Hold gently for 5-10 seconds. Then return to the starting position. Repeat the sequence 3-5 times.","Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Spinalis Capitis': '100%', 'Spinalis Cervicis': '100%', 'Longissimus Capitis': '100%', 'Levator Scapula': '100%', 'Splenius Capitis': '100%', 'Splenius Cervitis': '100%', 'Sternothyroideus': '100%', 'Trapezius': '100%'}",/user/downloads/Neck-Flexion-Stretch.png
Neck Extension Stretch,,"How to Neck Extension: Without arching your back, slowly move your head backward so you are looking upward. Hold for ten seconds. Return to starting position.","Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Platysma': '100%', 'Longus colli': '100%', 'Omohyoid': '100%', 'Splenius': '100%', 'Sternocleidomastoid': '100%', 'Sternothyroideus': '100%', 'Scalene': '100%'}",/user/downloads/Neck-Extension-Stretching.png
Side Neck Stretch,,How to Lateral Neck Flexion: Hold the head in the midline. Gently flex the head to the left side to let the ears touch the shoulders. Flex the neck as far as it can go without causing pain. Hold the position for 10-20 seconds. Bring back the head in its original position and do the lateral flexion on the opposite side.,"Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Levator Scapula': '100%', 'Middle Scalene': '100%', 'Anterior Scalene': '100%', 'Sternocleidomastoid': '100%', 'Omohyoid': '100%', 'Trapezius': '100%'}",/user/downloads/Side-Neck-Stretch.gif
Side Push Neck Stretch,,How to Side Push Neck Stretch: Hold the position for 10-20 seconds and return to starting position. Do this 3 to 4 times.,"Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Levator Scapula': '100%', 'Middle Scalene': '100%', 'Anterior Scalene': '100%', 'Sternocleidomastoid': '100%', 'Omohyoid': '100%', 'Trapezius': '100%'}",/user/downloads/Side-Push-Neck-Stretch.gif
