title,exercise_info,exercise_img,exercise_instruction,benefits,muscle_groups,equipment,muscle_img,muscle_worked
Weighted Lateral Neck Flexion,,/user/downloads/Lying-Weighted-Lateral-Neck-Flexion.gif,,"<ul><li>The weighted lateral neck flexion is an effective neck exercise designed to develop and strengthen the muscles at the side of your neck. Thanks to its strong neck muscles, it makes the neck much more versatile, increasing the range of motion, relaxing the neck and making it strong against injuries.</li><li>SternocleidomastoidThe sternocleidomastoid is a muscle in your neck commonly associated with poor hunched posture and neck pain. This muscle (SCM) functions to bend the neck forward and to the sides, as well as turn the head to the left and right. There are several symptoms of SCM syndrome, these are; It shows symptoms such as dull aches and pains in neck, neck stiffness, sharp pains in neck, decreased range of motion of the neck. Weighted lateral neck flexion will strengthen your neck muscles to release tension in the sternocleidomastoid muscle, increase movement and decrease neck pain. Having a strong neck will stabilize your head and reduce your risk of neck injury.</li></ul>","{'primary': 'Neck, '}","Full Gym, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Sternocleidomastoid': '100%', 'Synergists - Splenius': '80%', 'Synergists - Levator Scapulae': '80%', 'Synergists - Trapezius, Upper': '80%', 'Synergists - Erector Spinae': '80%'}"
Weighted Lying Neck Extension,,/user/downloads/Weighted-Lying-Neck-Extension.gif,,"<ul><li>This exercise is an effective neck exercise designed to develop and strengthen the muscles at the back of your neck. Thanks to its strong neck muscles, it makes the neck much more versatile, increasing the range of motion, relaxing the neck and making it strong against injuries.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck strengthening exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Splenius': '100%', 'Trapezius, Upper': '80%', 'Levator Scapulae': '80%', 'Sternocleidomastoid': '80%'}"
Weighted Lying Neck Flexion,,/user/downloads/Weighted-Lying-Neck-Flexion.gif,,"<ul><li>This exercise will build the front of the neck and thicken the sternocleidomastoid, which will make your neck appear very thick and wide from the front. Thanks to its strong neck muscles, it makes the neck much more versatile, increasing the range of motion, relaxing the neck and making it strong against injuries.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, ",/user/downloads/Neck-Stretch-muscle-worked.png,{'Sternocleidomastoid': '100%'}
Gittleson Shrug,,/user/downloads/Dumbbell-Seated-Gittleson-Shrug.gif,,"<ul><li>The Gittleson shrug is another variation of the dumbbell shrug used to build the trapezius muscles. The Gittleson shrug emphasizes the contraction of the upper trapezius muscle by isolating the muscle and working it in a one-way fashion.</li><li>Allow your loaded side shoulder to drop down as far as possible. This puts a stretch on your left upper trap and, because of the way you’re leaning, it also puts an intense isometric contraction in your right upper trap. Although it seems like a one-way exercise, an isometric contraction occurs on the other side as one side moves.</li><li>A strong and tight trapezius muscle supports your neck by preventing your head from falling forward and allows you to stand upright. It is a practical exercise that can be applied especially for those who work at the desk in the office.</li></ul>","{'primary': 'Neck, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}"
Diagonal Neck Stretch,,/user/downloads/Diagonal-Neck-Stretch.png,"<ul><li>How to Diagonal flexion: Turn your neck diagonally towards the right side at a 45-degree angle. Once you turn your head, bring your right hand up and hold the head. Proceed to stretch the left side of the neck. Repeat the same practice on the left side and stretch the right side of the neck. Hold this pose for 15 – 20 seconds.</li></ul>","<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Levator Scapula': '100%', 'Longissimus Capitis': '100%', 'Longissimus Cervicis': '100%', 'Semispinalis Capitis': '100%', 'Semispinalis Cervicis': '100%', 'Spinalis Cervicis': '100%', 'Spinalis Capitis': '100%', 'Splenius Capitis': '100%', 'Sternocleidomastoideus': '100%', 'Trapezius': '100%', 'Rhomboid': '100%'}"
Neck Rotation Stretch,,/user/downloads/Rotating-Neck-Stretch.gif,<ul><li>How to Neck Rotation: Gently turn the head to the left while feeling for a stretch in the neck. Hold the position for 20 seconds. Return the head in original position and turn gently to the opposite side on the right. Hold again for 20 seconds. Repeat the procedure twice.</li></ul>,"<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Longissimus Capitis': '100%', 'Semispinalis Capitis': '100%', 'Splenius Capitis': '100%', 'Sternocleidomastoideus': '100%', 'Levator Scapula': '100%', 'Trapezius': '100%'}"
Neck Flexion Stretch,,/user/downloads/Neck-Flexion-Stretch.png,"<ul><li>How to Neck Flexion: Slowly tilt your head forward, bringing your chin toward your chest and allowing the weight of your head to create a gentle stretch along the back of your neck.Hold gently for 5-10 seconds. Then return to the starting position. Repeat the sequence 3-5 times.</li></ul>","<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Spinalis Capitis': '100%', 'Spinalis Cervicis': '100%', 'Longissimus Capitis': '100%', 'Levator Scapula': '100%', 'Splenius Capitis': '100%', 'Splenius Cervitis': '100%', 'Sternothyroideus': '100%', 'Trapezius': '100%'}"
Neck Extension Stretch,,/user/downloads/Neck-Extension-Stretching.png,"<ul><li>How to Neck Extension: Without arching your back, slowly move your head backward so you are looking upward. Hold for ten seconds. Return to starting position.</li></ul>","<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Platysma': '100%', 'Longus colli': '100%', 'Omohyoid': '100%', 'Splenius': '100%', 'Sternocleidomastoid': '100%', 'Sternothyroideus': '100%', 'Scalene': '100%'}"
Side Neck Stretch,,/user/downloads/Side-Neck-Stretch.gif,<ul><li>How to Lateral Neck Flexion: Hold the head in the midline. Gently flex the head to the left side to let the ears touch the shoulders. Flex the neck as far as it can go without causing pain. Hold the position for 10-20 seconds. Bring back the head in its original position and do the lateral flexion on the opposite side.</li></ul>,"<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Levator Scapula': '100%', 'Middle Scalene': '100%', 'Anterior Scalene': '100%', 'Sternocleidomastoid': '100%', 'Omohyoid': '100%', 'Trapezius': '100%'}"
Side Push Neck Stretch,,/user/downloads/Side-Push-Neck-Stretch.gif,<ul><li>How to Side Push Neck Stretch: Hold the position for 10-20 seconds and return to starting position. Do this 3 to 4 times.</li></ul>,"<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Levator Scapula': '100%', 'Middle Scalene': '100%', 'Anterior Scalene': '100%', 'Sternocleidomastoid': '100%', 'Omohyoid': '100%', 'Trapezius': '100%'}"
Front and Back Neck Stretch,,/user/downloads/Front-and-Back-Neck-Stretch.gif,"<ul><li>Keep your head in a neutral position at all times.</li><li>Tilt your head straight back as far you can.</li><li>Interlock your fingers and place your hands on your forehead.</li><li>Slowly try to bring your head forward as though trying to touch your chest with your chin, and resist with your hands and arms.</li><li>Hold the position for 10-15 seconds and return to the starting position and then bend your head forward to reverse the movement, bringing your hands together behind your head to support them. Do this 3 to 4 times.</li></ul>","<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Splenius Capitis ': '100%', 'Longissimus Capitis': '100%', 'Platysma': '100%', 'Sternothyroideus': '100%', 'Omohyoid': '100%', 'Sternocleidomastoid': '100%', 'Scalene': '100%', 'Trapezius': '100%', 'Splenius Cervicis': '100%'}"
Chin Tuck,,/user/downloads/Chin-Tuck.gif,"<ul><li>How to Chin Tuck: While looking straight ahead, place two fingers on your chin, slightly tuck your chin and move your head back . Hold for 3-5 seconds and then release. Repeat 10 times.</li></ul>","<ul><li>Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.</li><li>When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.</li></ul>","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Scalene': '100%', 'Semispinalis Capitis': '100%', 'Splenius Capitis ': '100%', 'Longissimus Capitis': '100%', 'Sternothyroideus': '100%', 'Omohyoid': '100%', 'Sternocleidomastoid': '100%', 'Splenius Cervicis': '100%'}"
Prone Cervical Extension,,/user/downloads/Prone-Cervical-Extension.gif,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",,
Kneeling Neck Stretch,<ul><li>The kneeling neck stretch is an exercise that can help to relieve tension in the neck and upper back muscles. This stretch can improve flexibility in the neck and help to reduce pain and discomfort caused by poor posture or repetitive strain injuries.</li></ul>,/user/downloads/Kneeling-Neck-Stretch.gif,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Splenius': '100%', 'Trapezius, Upper': '80%', 'Levator Scapulae': '80%', 'Sternocleidomastoid': '80%'}"
Weighted Neck Harness Extension,,/user/downloads/Weighted-Neck-Harness-Extension.gif,,,"{'primary': 'Neck, '}","Full Gym, ",,
Lying Weighted Neck Flexion,,/user/downloads/Lying-Weighted-Neck-Flexion.gif,,,"{'primary': 'Neck, '}","Dumbbells, Full Gym, ",,
Lying Weighted Neck Extension,,/user/downloads/Lying-Weighted-Neck-Extension.gif,,,"{'primary': 'Neck, '}","Dumbbells, Full Gym, ",,
Lever Neck Right Side Flexion (plate loaded),,/user/downloads/Lever-Neck-Right-Side-Flexion-plate-loaded.gif,,,"{'primary': 'Neck, '}","Full Gym, Machine, ",,
Lever Neck Extension (plate loaded),,/user/downloads/Lever-Neck-Extension-plate-loaded.gif,,,"{'primary': 'Neck, '}","Full Gym, Machine, ",,
Cable Seated Neck Flexion with head harness,,/user/downloads/Cable-Seated-Neck-Flexion-with-head-harness.gif,,,"{'primary': 'Neck, '}","Cable, Full Gym, ",,
Cable Seated Neck Extension with head harness,,/user/downloads/Cable-Seated-Neck-Extension-with-head-harness.gif,,,"{'primary': 'Neck, '}","Cable, Full Gym, ",,
Sphinx Stretch,,/user/downloads/Sphinx-Stretch.gif,"<ul><li>Hold for up to 10 breaths. To release, exhale as you slowly lower your torso, chest, and head to the floor.</li></ul>","<ul><li>The Sphinx is a wonderful yoga pose to open the upper body and gain more strength and mobility in the mid-back and the thoracic spine. This move strengthens the erector spinae muscles that provide support to the spine. Strong back muscles can prevent postural deviations that lead to poor posture and discomfort, such as kyphosis (“hunchback”). Sphinx movement improves your posture by extending your back muscles and reducing the tension between your lower back and core areas. It also enhances your lower back’s strength, making it easier to stay upright throughout the day.</li></ul>","{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Sphinx-pose-muscle-worked-300x300.png,"{'Target - Erector Spinae': '100%', 'Trapezius': '75%', 'Abdominal': '75%', 'Chest': '75%'}"
Floor Hyperextension,,/user/downloads/Floor-Hyperextension-1.gif,"<ul><li>1- Lie face down with your legs together. Place your hands by the side of your head, keeping your shoulders relaxed and your core active. Breathe in.</li><li></li><li>2- Exhale as you lift your upper body off the floor. Perform the movement slowly, controlling it with your core. Be careful not to jerk your head or strain the muscles of your lower back or neck.</li><li></li><li>3- Breathe in, hold briefly at the top of the movement, maintaining an active core, then slowly and gently lower yourself back to the start position.</li></ul>","<ul><li>This move strengthens the erector spinae muscles that provide support to the spine. Strong back muscles can prevent postural deviations that lead to poor posture and discomfort, such as kyphosis (“hunchback”). Floor hyperextension movement improves your posture by extending your back muscles and reducing the tension between your lower back and core areas. It also enhances your lower back’s strength, making it easier to stay upright throughout the day.</li></ul>","{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/cat-cow-pose-muscle-worked-300x300.png,"{'Target - Erector Spinae': '100%', 'Trapezius': '75%', 'Splenius': '75%', 'Abdominal': '75%'}"
Bhujangasana | Cobra Abdominal Stretch,,/user/downloads/abdominal-stretch.gif,"<ul><li>To perform a cobra abdominal stretch, start by lying face-down on a mat with your hands placed flat under your shoulders.</li><li></li><li>Slowly press into your hands and straighten your arms, lifting your chest and head off the ground.</li><li></li><li>Keep your elbows close to your body and hold this position for a few seconds, breathing deeply.</li><li></li><li>Then, release back down to the starting position. Repeat several times.</li><li></li><li>Note:</li><li></li><li>It is important to perform the cobra pose carefully and gradually, avoiding any sudden movements that could cause pain or injury. If you experience discomfort during the stretch, stop and speak with a healthcare professional. Additionally, it is important to incorporate regular stretching into your overall exercise program to maintain flexibility and prevent injury.</li></ul>","<ul><li>The cobra abdominal stretch is a yoga pose that helps to stretch the muscles in the abdominal region, including the rectus abdominis, and the muscles in the lower back. It can help improve posture and flexibility, as well as alleviate back pain and stiffness.</li></ul>","{'primary': 'Abs, Neck, Yoga, '}","Full Gym, NO EQUIPMENT, ",,
Fish Pose,,/user/downloads/Fish-Pose-Matsyasana.gif,,,"{'primary': 'Abs, Chest, Neck, Yoga, '}","Full Gym, NO EQUIPMENT, ",,
