imdb_id,qty_of_events
tt13157618,42907
tt14688458,20587
tt19854762,16276
tt16970906,3770
tt19896150,2237
tt6758316,1368
tt14417718,1194
tt8400584,982
tt20259432,856
tt16711670,740
tt21087226,706
tt21245882,668
tt14825364,640
tt22051112,633
tt14903834,571
tt26596318,547
tt12537368,502
tt15474794,501
tt27666004,470
tt11947238,438
tt19783536,403
tt12708542,402
tt8789536,386
tt14921986,381
tt27638923,359
tt4653606,344
tt13622982,327
tt12985634,304
tt3565112,293
tt15282746,271
tt11127388,249
tt19115044,239
tt8291284,236
tt14873756,233
tt23857504,232
tt7380366,224
tt15715052,221
tt27837472,220
tt13238346,218
tt13142324,218
tt27584374,216
tt8010548,201
tt6358182,199
tt11468254,184
tt4464732,173
tt14759574,167
tt19637538,155
tt21100682,150
tt17001504,147
tt27846314,139
tt18949726,135
tt6446744,125
tt27589290,122
tt3569782,118
tt27838483,111
tt21421752,109
tt14129576,102
tt17372734,101
tt27047709,99
tt18248022,99
tt19853604,97
tt7343762,96
tt14572196,93
tt15084142,93
tt18545980,87
tt18934038,86
tt15379212,86
tt27204559,85
tt13821126,82
tt20765238,73
tt23709380,71
tt0094103,70
tt26452692,70
tt21371376,69
tt21057450,67
tt0097529,65
tt0075228,64
tt21187594,64
tt18071972,63
tt16294922,63
tt26348099,63
tt9358204,62
tt27198385,61
tt11742122,60
tt19512772,60
tt15325986,57
tt3781262,56
tt15210156,51
tt2787764,51
tt15383758,50
tt9057066,49
tt19870894,48
tt23710126,47
tt13761284,46
tt22003362,45
tt21087266,45
tt4793568,44
tt2140383,44
tt6953912,44
tt15257940,44
tt27371519,43
tt0965390,42
tt21426704,42
tt9311126,42
tt27371495,40
tt14677188,39
tt22808620,39
tt14068428,37
tt2746566,36
tt8640952,35
tt9012876,35
tt8270482,35
tt13335282,34
tt4883746,33
tt22073234,33
tt22876148,32
tt10374142,32
tt10369484,32
tt14582876,32
tt0040185,32
tt12809376,32
tt12564628,32
tt11274284,31
tt23018318,31
tt27446484,31
tt17489430,30
tt21802112,30
tt6759362,29
tt7112160,29
tt18306798,28
tt22226256,28
tt1371159,28
tt7627802,28
tt4791124,27
tt2424608,26
tt22062572,25
tt13049144,25
tt27023363,24
tt5215674,23
tt5108516,23
tt9248104,23
tt14445576,22
tt21155694,22
tt21617204,22
tt18261546,22
tt8902384,22
tt26624065,21
tt22310056,20
tt27077073,20
tt0210659,20
tt25815874,20
tt17048778,20
tt13813756,19
tt21663658,19
tt15399416,19
tt15063296,19
tt7678662,19
tt21043326,19
tt1484498,19
tt19872934,18
tt15095646,18
tt13266618,18
tt19896920,18
tt11958346,18
tt21263178,17
tt4756228,17
tt26345775,17
tt14032992,17
tt3204196,17
tt11611524,17
tt13263302,16
tt10072656,16
tt13223764,16
tt17525252,16
tt8630396,16
tt17350126,16
tt22056086,16
tt15660430,16
tt9855482,15
tt3012540,15
tt20426876,15
tt14675456,15
tt15379832,15
tt21364964,15
tt15580450,15
tt15824600,15
tt11018166,15
tt4606658,15
tt9000424,14
tt25621862,14
tt2514438,14
tt15866282,14
tt21317760,14
tt1379090,14
tt19037620,14
tt14542132,14
tt2653768,14
tt2732442,14
tt4056570,14
tt6926116,14
tt15477994,14
tt9066016,13
tt26008888,13
tt13365260,13
tt9362930,13
tt22529502,13
tt6466524,13
tt3066856,13
tt17024450,13
tt11210660,13
tt11310352,13
tt11443754,13
tt5252608,12
tt23328174,12
tt21650372,12
tt6978154,12
tt4623928,12
tt22796478,12
tt000087800,12
tt12712572,12
tt15765450,12
tt1587790,11
tt1769803,11
tt21441138,11
tt13634306,11
tt0205917,11
tt2125584,11
tt10295838,10
tt6689830,10
tt13182714,10
tt15293240,10
tt1320213,10
tt26914092,10
tt2128211,10
tt6176536,10
tt1777316,10
tt8785438,10
tt18550036,10
tt15428452,9
tt21412978,9
tt10972986,9
tt12873300,9
tt15657662,8
tt26761279,8
tt26901868,8
tt13606252,8
tt7924262,8
tt15309272,8
tt5820846,8
tt10627334,8
tt4401960,8
tt0808084,8
tt14251152,8
tt11433330,8
tt13609726,8
tt14143348,8
tt17075746,8
tt9092600,8
tt5714712,8
tt15353450,8
tt24973048,7
tt13651794,7
tt26008716,7
tt1001520,7
tt2364322,7
tt23462680,7
tt25406454,7
tt0421450,7
tt12916182,7
tt10488154,7
tt3565222,7
tt4547656,7
tt4544940,7
tt10927414,7
tt4796190,7
tt4008506,7
tt11423580,7
tt4827290,7
tt10730376,7
tt13586204,7
tt5396928,7
tt12101170,7
tt27797655,7
tt12782672,7
tt5734660,7
tt27208722,7
tt14488412,7
tt13364522,7
tt2298277,7
tt11123072,7
tt19889996,7
tt17008858,7
tt20425856,7
tt20565622,7
tt0250533,7
tt21603982,7
tt9074470,7
tt0245602,7
tt21422250,7
tt1546360,7
tt8808802,7
tt15680188,7
tt16252162,7
tt21187630,7
tt8873348,7
tt0158441,7
tt21950088,7
tt15325924,7
tt8565328,7
tt19872194,7
tt17378422,7
tt1954901,7
tt0368157,7
tt14867944,7
tt9658288,7
tt9436606,7
tt0072470,7
tt0278522,7
tt19315934,7
tt4642842,6
tt16156436,6
tt9042284,6
tt4591468,6
tt20859898,6
tt20859150,6
tt12511596,6
tt4511054,6
tt0117547,6
tt11168052,6
tt9800694,6
tt27907198,6
tt12007528,6
tt1308105,6
tt3739204,6
tt13035210,6
tt22399058,6
tt15838704,6
tt2182123,6
tt7339080,6
tt0398982,6
tt7335892,6
tt7205552,6
tt7156016,6
tt8300948,6
tt23556408,6
tt15133984,6
tt6824572,6
tt22033610,6
tt24669186,6
tt10306320,6
tt0174369,6
tt10580138,6
tt2119125,6
tt0417194,6
tt15336554,6
tt14014144,6
tt26368084,6
tt21390978,6
tt26735920,6
tt13250808,6
tt10508394,6
tt1338724,6
tt7448858,5
tt7667038,5
tt6222202,5
tt10697548,5
tt0125111,5
tt6539502,5
tt8369620,5
tt0072578,5
tt5153700,5
tt9207616,5
tt13353168,5
tt15397704,5
tt16549178,5
tt14420552,5
tt14296996,5
tt14166428,5
tt22171808,5
tt14125350,5
tt4293004,5
tt2095711,5
tt12564744,5
tt14811196,5
tt11654094,5
tt3433716,5
tt15619042,5
tt11651766,5
tt6467482,4
tt2238348,4
tt23061236,4
tt7999864,4
