Category,Property Type,Address,Bedrooms,Bathrooms,Price,Link,Telephone,Managed,Pool,Furnished
Rent,Single family,6500 NE 21st Rd Fort Lauderdale FL 33308,3,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/6500-NE-21st-Rd_Fort-Lauderdale_FL_33308_M55348-96452"",""https://www.realtor.com/realestateandhomes-detail/6500-NE-21st-Rd_Fort-Lauderdale_FL_33308_M55348-96452"")",,,Y,N
Rent,Single family,1811 NE 8th St Fort Lauderdale FL 33304,3,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/1811-NE-8th-St_Fort-Lauderdale_FL_33304_M69695-63149"",""https://www.realtor.com/realestateandhomes-detail/1811-NE-8th-St_Fort-Lauderdale_FL_33304_M69695-63149"")",,,Y,N
Rent,Single family,3721 SW 49th St Fort Lauderdale FL 33312,5,3,"$5,100","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/3721-SW-49th-St_Fort-Lauderdale_FL_33312_M51948-96178"",""https://www.realtor.com/realestateandhomes-detail/3721-SW-49th-St_Fort-Lauderdale_FL_33312_M51948-96178"")",,,Y,N
Rent,Single family,3799 Lancewood Dr Coral Springs FL 33065,4,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/3799-Lancewood-Dr_Coral-Springs_FL_33065_M64354-60846"",""https://www.realtor.com/realestateandhomes-detail/3799-Lancewood-Dr_Coral-Springs_FL_33065_M64354-60846"")",,,Y,N
Rent,Single family,16195 SW 28th Ct Miramar FL 33027 M69389 43784?ex=2955711211&listing,5,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/16195-SW-28th-Ct_Miramar_FL_33027_M69389-43784?ex=2955711211&listing_status=rental"",""https://www.realtor.com/realestateandhomes-detail/16195-SW-28th-Ct_Miramar_FL_33027_M69389-43784?ex=2955711211&listing_status=rental"")",,,Y,N
Rent,Single family,4863 Willow Dr Boca Raton FL 33487,4,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/4863-Willow-Dr_Boca-Raton_FL_33487_M58137-89844"",""https://www.realtor.com/realestateandhomes-detail/4863-Willow-Dr_Boca-Raton_FL_33487_M58137-89844"")",,,N,N
Rent,Single family,2735 NW 99th St Miami FL 33147,5,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2735-NW-99th-St_Miami_FL_33147_M69576-48536"",""https://www.realtor.com/realestateandhomes-detail/2735-NW-99th-St_Miami_FL_33147_M69576-48536"")",,,N,N
Rent,Single family,2555 NW 105th Ln Sunrise FL 33322,4,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/2555-NW-105th-Ln_Sunrise_FL_33322_M60584-79796"",""https://www.realtor.com/realestateandhomes-detail/2555-NW-105th-Ln_Sunrise_FL_33322_M60584-79796"")",,,N,N
Rent,Single family,20941 NE 25th Ct Miami FL 33180,4,3,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/20941-NE-25th-Ct_Miami_FL_33180_M55812-79588"",""https://www.realtor.com/realestateandhomes-detail/20941-NE-25th-Ct_Miami_FL_33180_M55812-79588"")",,,Y,N
Rent,Single family,16718 SW 36th Ct Miramar FL 33027,4,3.5,"$5,000","=HYPERLINK(""https://www.realtor.com/realestateandhomes-detail/16718-SW-36th-Ct_Miramar_FL_33027_M63271-34347"",""https://www.realtor.com/realestateandhomes-detail/16718-SW-36th-Ct_Miramar_FL_33027_M63271-34347"")",,,Y,N
