Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
9991,Chicken N Bull,,"Maandag: 16:00 - 02:00
Dinsdag: 16:00 - 02:00
Woensdag: 16:00 - 02:00
Donderdag: 16:00 - 03:00
Vrijdag: 16:00 - 03:00
Zaterdag: 16:00 - 03:00
Zondag: 16:00 - 02:00
","MealDeals, Broodjes, Grillgerechten, Mixed grill, Spareribs, Pasta's, Lasagne, Turkse pizza's, ","2,2, op basis van 1.408 beoordelingen",Bezorgen in 60-85 min,"€ 2,00","€ 25,00",https://www.thuisbezorgd.nl/menu/chicken-n-bull-1
9991,Pizzeria Grillroom Dolce Vita,"Schoolstraat 4A, 9781JN Bedum, ","Maandag: Gesloten voor bezorging
Dinsdag: 15:45 - 21:45
Woensdag: 15:45 - 21:45
Donderdag: 15:45 - 21:45
Vrijdag: 15:45 - 21:45
Zaterdag: 15:45 - 21:45
Zondag: 15:45 - 21:45
","Vegetarische pizza's, Pizza's met vis, Pizza's met vlees, Calzones, Speciale pizza's, Pasta's, Pasta ovengerechten, ","4,3, op basis van 278 beoordelingen",Bezorgen in 25-50 min,"€ 5,00","€ 20,00",https://www.thuisbezorgd.nl/menu/pizzeria-grillroom-dolce-vita
9991,Warung Sejeh,"Waterstraat 52D, 9934AW Delfzijl, ","Maandag: 15:15 - 20:00
Dinsdag: Gesloten voor bezorging
Woensdag: 15:15 - 20:00
Donderdag: 15:15 - 20:00
Vrijdag: 15:15 - 20:00
Zaterdag: 15:15 - 20:00
Zondag: 15:15 - 20:00
","Soepen, Gerechten, Roti, Patat, Vegetarische gerechten, Surinaamse broodjes, Extra's, Overige gerechten, ","4,6, op basis van 421 beoordelingen",Bezorgen in 50-75 min,"€ 4,00","€ 35,00",https://www.thuisbezorgd.nl/menu/warung-sejeh
1016,SUSHIBUCK,,"Maandag: 16:00 - 22:00
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 23:00
Zaterdag: 16:00 - 23:00
Zondag: 16:00 - 22:00
","Back to nature, V.I.P boxen, Regular boxen, Speciale rolls, Uramaki, Hosomaki, Gefrituurde sushi, ","4,8, op basis van 834 beoordelingen",Bezorgen in 20-45 min,,"€ 20,00",https://www.thuisbezorgd.nl/menu/sushibuck
1016,Pizza'dam,,"Maandag: 15:30 - 01:00
Dinsdag: 15:30 - 01:00
Woensdag: 15:30 - 01:00
Donderdag: 15:30 - 03:00
Vrijdag: 15:30 - 03:00
Zaterdag: 15:30 - 03:00
Zondag: 15:30 - 01:00
","Vegetarian pizza's, Vegan pizza's, Meat pizza's, Chicken pizza's, Fish pizza's, Calzones, Pizza half om half, ","4,5, op basis van 11 beoordelingen",Bezorgen in 30-55 min,,"€ 10,00",https://www.thuisbezorgd.nl/menu/pizzadam-new
1016,Tandoori Express,,"Maandag: 11:00 - 23:45
Dinsdag: 11:00 - 23:45
Woensdag: 11:00 - 23:45
Donderdag: 11:00 - 23:45
Vrijdag: 11:00 - 23:45
Zaterdag: 11:00 - 23:45
Zondag: 11:00 - 23:45
","Maandmenu, ","4,5, op basis van 11.238 beoordelingen",Bezorgen in 30-55 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/tandoori-express
1016,Roti Shop,,"Maandag: 11:00 - 23:45
Dinsdag: 11:00 - 23:45
Woensdag: 11:00 - 23:45
Donderdag: 11:00 - 23:45
Vrijdag: 11:00 - 23:45
Zaterdag: 11:00 - 23:45
Zondag: 11:00 - 23:45
","Stel zelf uw menu samen, Voorgerechten, ","4,7, op basis van 13.742 beoordelingen",Bezorgen in 30-55 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/roti-shop
1016,Soytasty,,"Maandag: 11:30 - 20:30
Dinsdag: Gesloten voor bezorging
Woensdag: 11:30 - 20:30
Donderdag: 11:30 - 20:30
Vrijdag: 11:30 - 20:30
Zaterdag: 11:30 - 20:30
Zondag: 11:30 - 20:30
","Sushi boxen, Nigiri, Maki, Uramaki, Futomaki, Temaki, Sashimi, Special rolls, Pokébowls, ","4,4, op basis van 390 beoordelingen",Bezorgen in 20-45 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/soytasty-new
1016,YinYang Wok,,"Maandag: 15:30 - 06:00
Dinsdag: 15:30 - 06:00
Woensdag: 15:30 - 06:00
Donderdag: 15:30 - 06:00
Vrijdag: 15:30 - 06:00
Zaterdag: 15:30 - 06:00
Zondag: 15:30 - 06:00
","Wok, Snacks, Dranken, ","3,8, op basis van 19 beoordelingen",Bezorgen in 15-40 min,"€ 2,50","€ 25,00",https://www.thuisbezorgd.nl/menu/yinyang-wok
1016,New York Pizza Amsterdam Bilderdijkstraat,,"Maandag: 15:45 - 22:25
Dinsdag: 15:45 - 22:25
Woensdag: 15:45 - 22:25
Donderdag: 15:45 - 22:25
Vrijdag: 15:45 - 23:40
Zaterdag: 15:45 - 23:40
Zondag: 15:00 - 22:25
","Actieproducten, Pizza, Chef's Tips, Double Tasty's, Four Tasty XXL, Custom Pizza's, Glutenarme pizza's, ","4,1, op basis van 2.353 beoordelingen",Bezorgen in 15-25 min,"€ 2,00","€ 9,99",https://www.thuisbezorgd.nl/menu/new-york-pizza-amsterdam-bilderdijkstraat
