Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
1011,Eetsalon de Mol,"Molsteeg 3, 1012SM Amsterdam, ","Maandag: 15:30 - 05:00
Dinsdag: 15:30 - 05:00
Woensdag: 15:30 - 06:00
Donderdag: 15:30 - 06:00
Vrijdag: 15:30 - 06:59
Zaterdag: 15:30 - 06:59
Zondag: 15:30 - 05:00
","Pizza's, Calzones, Snacks, Pasta's, Salade, Sauzen, Dranken, Desserts, Magnum pints 440ml, ","2,9, op basis van 273 beoordelingen",Bezorgen in 20-45 min,"€ 1,99","€ 11,95",https://www.thuisbezorgd.nl/menu/eetsalon-de-mol
1011,Unobezorgt Food & More,"Draaierweg 20C, 1032KS Amsterdam, ","Maandag: 14:45 - 05:30
Dinsdag: 14:45 - 05:30
Woensdag: 14:45 - 05:30
Donderdag: 14:45 - 05:30
Vrijdag: 14:45 - 05:30
Zaterdag: 14:45 - 05:30
Zondag: 14:45 - 05:30
","Frisdrank, Pizza en burgers, Bier, Chips, Wijn, Ben & Jerry's, IJs, Chocola, Koek, Nootjes, ","4,4, op basis van 8 beoordelingen",Bezorgen in 20-30 min,"€ 2,50","€ 15,00",https://www.thuisbezorgd.nl/menu/unobezorgt
1011,Mister Wings,,"Maandag: 17:00 - 05:00
Dinsdag: 17:00 - 05:00
Woensdag: 15:30 - 05:00
Donderdag: 13:30 - 06:00
Vrijdag: 13:30 - 06:00
Zaterdag: 13:00 - 06:00
Zondag: 15:00 - 05:00
","Specials, Kip burger, Wings, Tender strips, Loaded fries XL, Snacks and sides, Dessert, Sauzen, ","4,3, op basis van 296 beoordelingen",Bezorgen in 15-40 min,"€ 3,49","€ 15,00",https://www.thuisbezorgd.nl/menu/mister-wings
1011,Slijterij & Wijnhandel Madison,"Ceintuurbaan 272H, 1072GJ Amsterdam, ","Maandag: 20:00 - 03:30
Dinsdag: 14:00 - 03:30
Woensdag: 14:00 - 03:45
Donderdag: 14:00 - 03:45
Vrijdag: 14:00 - 05:45
Zaterdag: 18:00 - 06:00
Zondag: 20:00 - 03:30
","Bitters, Cognac, Frisdrank, Gin en jenever, Likeuren, Mousserend, Pisco, Premix, Rode wijn, ","4,4, op basis van 7 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 25,00",https://www.thuisbezorgd.nl/menu/madison-royal
1011,Chicken Palace,"Schakelstraat 24A, 1014AW Amsterdam, ","Maandag: 20:30 - 04:45
Dinsdag: 20:30 - 04:45
Woensdag: 20:30 - 04:45
Donderdag: 20:30 - 04:45
Vrijdag: 20:30 - 05:45
Zaterdag: 20:30 - 05:45
Zondag: 20:30 - 04:45
","Burgers, Burger menu's, Hotwings, Spicy chicken chunks, Hot cream cheese jalapeños, On the side, ","4,4, op basis van 4.622 beoordelingen",Bezorgen in 30-55 min,"€ 1,50","€ 17,50",https://www.thuisbezorgd.nl/menu/chicken-palace-amsterdam
1011,Supermarkt Royal XL,"Ceintuurbaan 270 H, 1072 GJ Amsterdam, ","Maandag: 20:00 - 03:30
Dinsdag: 14:00 - 03:30
Woensdag: 14:00 - 05:30
Donderdag: 14:00 - 03:30
Vrijdag: 14:00 - 05:30
Zaterdag: 19:30 - 05:30
Zondag: 20:00 - 03:30
","Frisdrank, Zoutjes, Snoep, Koek, Chocolade, Ijs, Diepvries snacks, Bier, Alcoholvrij bier, ","3,9, op basis van 21 beoordelingen",Bezorgen in 80-100 min,"€ 2,50","€ 25,00",https://www.thuisbezorgd.nl/menu/supermarkt-royal-xl
1011,Dolce Fratelli Pizza & Pasta,"Van Woustraat 55H, 1074AC Amsterdam, ","Maandag: 15:30 - 05:00
Dinsdag: 15:30 - 05:00
Woensdag: 16:15 - 06:00
Donderdag: 16:00 - 06:00
Vrijdag: 16:00 - 06:59
Zaterdag: 15:30 - 06:59
Zondag: 16:00 - 05:00
","Pizza's, Pizza's met Amerikaanse bodems, Pizza 2-in-1, Calzone, Pasta in box, Pasta uit de oven, Stel je eigen pasta samen, ","3,8, op basis van 351 beoordelingen",Bezorgen in 20-30 min,"€ 2,50","€ 15,00",https://www.thuisbezorgd.nl/menu/dolce-fratelli-pizza-pasta-new
1011,Avondwinkel Uno,"Pieter Calandlaan 17, 1065KH Amsterdam, ","Maandag: 14:45 - 05:30
Dinsdag: 14:45 - 05:30
Woensdag: 14:45 - 05:30
Donderdag: 14:45 - 05:30
Vrijdag: 14:45 - 05:30
Zaterdag: 14:45 - 05:30
Zondag: 14:45 - 05:30
","Burgers en pizza, Bier, Wijn, Frisdrank, Chocola, Koek, Chips, Nootjes, Snoep, IJs, ","4,1, op basis van 68 beoordelingen",Bezorgen in 10-20 min,"€ 2,50","€ 15,00",https://www.thuisbezorgd.nl/menu/avondwinkel-uno
1011,Drinks delivery 24/7,"Verijn Stuartweg 79, 1112AW Diemen, ","Maandag: 16:00 - 06:59
Dinsdag: 16:00 - 06:59
Woensdag: 16:00 - 06:59
Donderdag: 16:00 - 06:59
Vrijdag: 16:00 - 06:59
Zaterdag: 16:00 - 06:59
Zondag: 16:00 - 06:59
","Likeur en shots, Wijn en Champagne, Mixdrankjes, Frisdranken, Snacks, Extra's, ","3,8, op basis van 8 beoordelingen",Bezorgen in 45-70 min,"€ 2,00","€ 20,00",https://www.thuisbezorgd.nl/menu/drinks-delivery-247
1011,El Chicken,"Van Woustraat 180, 1073LZ Amsterdam, ","Maandag: 23:00 - 06:59
Dinsdag: 23:00 - 06:15
Woensdag: 23:00 - 06:15
Donderdag: 23:00 - 06:59
Vrijdag: 23:00 - 06:59
Zaterdag: 23:00 - 06:59
Zondag: 23:00 - 06:59
","Kipburgers, Hotwings, Kipfingers, Kipnuggets, Bijgerechten, Sauzen, Drinken, ","3,5, op basis van 605 beoordelingen",Bezorgen in 50-75 min,"€ 3,00","€ 25,00",https://www.thuisbezorgd.nl/menu/el-chicken
