Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
4001,Time 4 Burgers,"Vleesstraat 15A, 4001BB Tiel, ","Maandag: 15:00 - 00:00
Dinsdag: 15:00 - 00:00
Woensdag: 15:00 - 00:00
Donderdag: 15:00 - 00:00
Vrijdag: 15:00 - 00:00
Zaterdag: 15:00 - 00:00
Zondag: 12:00 - 23:45
","Burger menu's, Burgers, Kindermenu, Snacks, Snack menu's, Tortilla's, Sauzen, Drankjes, ","4,4, op basis van 498 beoordelingen",Bezorgen in 15-40 min,"€ 1,50","€ 12,50",https://www.thuisbezorgd.nl/menu/time-4-burgers
4001,Bakkerij Sevdi,"Vleesstraat 11, 4001BB Tiel, ","Maandag: 10:00 - 19:45
Dinsdag: 10:00 - 19:45
Woensdag: 10:00 - 19:45
Donderdag: 10:00 - 19:45
Vrijdag: 10:00 - 19:45
Zaterdag: 10:30 - 19:45
Zondag: Gesloten voor bezorging
","Baklava, Kapsalons, Turkse pizza's, Döner kebab, Broodjes, Wraps, Extra's, Dranken, Sauzen, ","4,8, op basis van 1.594 beoordelingen",Bezorgen in 15-40 min,"€ 0,99","€ 10,00",https://www.thuisbezorgd.nl/menu/sevdi-bakkerij
4001,Kipperij Tiel,"Westledeplein 13, 4006BB Tiel, ","Maandag: 11:00 - 20:45
Dinsdag: 11:00 - 20:45
Woensdag: 11:00 - 20:45
Donderdag: 11:00 - 20:45
Vrijdag: 11:00 - 20:45
Zaterdag: 11:00 - 20:45
Zondag: 12:00 - 20:45
","Kipperijmenu's, Kapsalon en loaded fries, Grill en snacks, Broodjes, Bijgerechten, Desserts, Dranken, ","4,6, op basis van 448 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 9,99",https://www.thuisbezorgd.nl/menu/kipperij-tiel
4001,Ristorante Pizzeria Rossetti,"Plein 15AB, 4001LG Tiel, ","Maandag: 14:30 - 21:00
Dinsdag: 15:00 - 21:00
Woensdag: 15:00 - 21:00
Donderdag: 15:00 - 21:00
Vrijdag: 15:00 - 21:00
Zaterdag: 15:00 - 21:00
Zondag: 15:00 - 21:00
","Voorgerechten, Pasta's, Bambini, Pizza's, Vis- en vleesgerechten, Dessert, Frisdranken, Bieren, ","4,6, op basis van 715 beoordelingen",Bezorgen in 15-40 min,"€ 3,50","€ 25,00",https://www.thuisbezorgd.nl/menu/ristorante-pizzeria-rossetti
4001,Domino's Pizza Tiel,"Plein 53, 4001LH Tiel, ","Maandag: 16:00 - 22:00
Dinsdag: 16:00 - 22:00
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 23:00
Zaterdag: 15:00 - 23:00
Zondag: 15:00 - 22:00
","Double pizza's, Classic goodness, Supreme goodness, Meaty goodness, Vegan Goodness, Glutenfree goodness, ","4,2, op basis van 2.065 beoordelingen",Bezorgen in 15-40 min,"€ 1,50","€ 9,95",https://www.thuisbezorgd.nl/menu/dominos-pizza-tiel
4001,Oishi Food,"Kerkstraat 5C, 4001MA Tiel, ","Maandag: 12:15 - 21:30
Dinsdag: 12:15 - 21:30
Woensdag: 12:15 - 21:30
Donderdag: 12:15 - 21:30
Vrijdag: 12:15 - 21:30
Zaterdag: 12:15 - 21:00
Zondag: 14:00 - 21:00
","Sushi boxen, Pokebowls, Nigiri, Maki, Temaki, Sashimi, Wok menu, Bijgerechten, Salades, ","4,4, op basis van 73 beoordelingen",Bezorgen in 30-55 min,"€ 2,00","€ 18,00",https://www.thuisbezorgd.nl/menu/oishi-food-tiel
4001,San Tiago Grill Specialist,"Plein 59, 4001LH Tiel, ","Maandag: 13:00 - 21:00
Dinsdag: 13:00 - 21:00
Woensdag: Gesloten voor bezorging
Donderdag: 13:00 - 21:00
Vrijdag: 13:00 - 21:00
Zaterdag: 13:00 - 21:00
Zondag: 13:00 - 21:00
","Soepen, Koude voorgerechten, Salades, Warme voorgerechten, Spareribs, Specialiteiten van het huis, ","3,9, op basis van 93 beoordelingen",Bezorgen in 40-65 min,"€ 2,00","€ 20,00",https://www.thuisbezorgd.nl/menu/san-tiago-grill-specialist-new
4001,Eetcafé Mediterranné,"Hertog Karellaan 13, 4001KL Tiel, ","Maandag: 13:00 - 00:00
Dinsdag: Gesloten voor bezorging
Woensdag: 13:00 - 00:00
Donderdag: 13:00 - 00:00
Vrijdag: 13:00 - 00:00
Zaterdag: 13:00 - 00:00
Zondag: 13:00 - 00:00
","Broodjes, Schotels, Kapsalons, Hamburger menu's, Hamburgers los, Spareribs, Wraps, Snacks, ","4,3, op basis van 170 beoordelingen",Bezorgen in 35-60 min,,"€ 10,00",https://www.thuisbezorgd.nl/menu/eetcafe-mediterranne
4001,Lunchroom Rossetti,"Varkensmarkt 1, 4001LV Tiel, ","Maandag: 11:45 - 21:00
Dinsdag: 11:45 - 21:00
Woensdag: 11:45 - 21:00
Donderdag: 11:45 - 21:00
Vrijdag: 11:45 - 21:00
Zaterdag: 11:45 - 21:00
Zondag: 15:00 - 21:00
","Kleine voorgerechten, Salades en voorgerechten, Pasta, Pizza's, Exclusieve gerechten, Dessert, Frisdranken, ","4,5, op basis van 57 beoordelingen",Bezorgen in 45-70 min,"€ 2,50","€ 25,00",https://www.thuisbezorgd.nl/menu/lunchroom-rossetti
4001,Villa Plaza,,"Maandag: 15:30 - 22:30
Dinsdag: 15:30 - 22:30
Woensdag: 15:30 - 22:30
Donderdag: 15:30 - 22:30
Vrijdag: 15:30 - 23:30
Zaterdag: 15:30 - 23:30
Zondag: 15:30 - 21:30
","Salades, Pizza's, Calzones, Kapsalon, Schotels, Mix schotels, Turkse pizza's, Dürüm, Broodjes, ","4,2, op basis van 1.984 beoordelingen",Bezorgen in 20-45 min,"€ 2,00","€ 14,00",https://www.thuisbezorgd.nl/menu/villa-plaza
4001,Briljant Snacks,"Hoveniersweg 129, 4001HT Tiel, ","Maandag: 15:30 - 02:00
Dinsdag: 16:00 - 02:00
Woensdag: 15:30 - 02:00
Donderdag: 15:30 - 02:00
Vrijdag: 15:30 - 03:00
Zaterdag: 15:30 - 03:00
Zondag: 15:30 - 02:00
","Turkse pide, Friet, Snacks, Hotwings, Chicken strips, Broodjes, Broodjes menu's, Pita's, Panini's, ","2,7, op basis van 322 beoordelingen",Bezorgen in 80-100 min,"€ 1,50","€ 10,00",https://www.thuisbezorgd.nl/menu/briljant-snacks-tiel
4001,Sushi & Vega,"Chopinplein 4, 4102 CV Culemborg, ","Maandag: 14:00 - 21:00
Dinsdag: 14:00 - 21:00
Woensdag: 14:00 - 21:00
Donderdag: 14:00 - 21:00
Vrijdag: 14:00 - 21:00
Zaterdag: 14:00 - 21:00
Zondag: 14:00 - 21:00
","Sushi boxen, Pokébowl, Maki, Temaki, Nigiri, Futo maki, Uramaki, Specials, Crispy rolls, ","3,9, op basis van 286 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 25,00",https://www.thuisbezorgd.nl/menu/sushi-vega-culemborg
4001,New York Pizza Tiel,"Prinses Beatrixlaan 7, 4001 AG Tiel, ","Maandag: 16:00 - 21:50
Dinsdag: 16:00 - 21:50
Woensdag: 16:00 - 21:50
Donderdag: 16:00 - 21:50
Vrijdag: 16:00 - 21:50
Zaterdag: 16:00 - 21:50
Zondag: 16:00 - 21:50
","Actieproducten, Pizza, Chef's Tips, Double Tasty's, Four Tasty XXL, Custom Pizza's, Glutenarme pizza's, ","4,5, op basis van 32 beoordelingen",Bezorgen vanaf 16:00,"€ 1,50","€ 9,99",https://www.thuisbezorgd.nl/menu/new-york-pizza-44
4001,Sushi Time,,"Maandag: 16:00 - 21:00
Dinsdag: 16:00 - 21:00
Woensdag: 16:00 - 21:00
Donderdag: 16:00 - 21:00
Vrijdag: 16:00 - 23:00
Zaterdag: 16:00 - 23:00
Zondag: 16:00 - 23:00
","Boxen, Menu's, Special maki sushi, Rock 'n' rolls, Crunchy rolls, Nigiri sushi, Gunkan sushi, Hosomaki sushi, ","3,6, op basis van 88 beoordelingen",Bezorgen vanaf 16:00,,"€ 12,50",https://www.thuisbezorgd.nl/menu/sushi-time-new
4001,I Love Sushi,"Westluidensestraat 21, 4001ND Tiel, ","Maandag: 16:00 - 21:00
Dinsdag: 16:00 - 21:00
Woensdag: 16:00 - 19:00
Donderdag: 16:00 - 21:00
Vrijdag: 16:00 - 22:00
Zaterdag: 16:00 - 22:00
Zondag: 16:00 - 21:30
","Speciale boxen, VIP box selection, Speciale pokébowls, Nigiri, Uramaki, Uramaki, Hosomaki, Futo maki, ","4,4, op basis van 206 beoordelingen",Bezorgen vanaf 16:00,"€ 0,99","€ 7,95",https://www.thuisbezorgd.nl/menu/i-love-sushi-tiel-2
4001,Poke Time,"Sint Agnietenstraat 32, 4001NB Tiel, ","Maandag: 16:00 - 21:00
Dinsdag: 16:00 - 21:00
Woensdag: 16:00 - 21:00
Donderdag: 16:00 - 21:00
Vrijdag: 16:00 - 23:00
Zaterdag: 16:00 - 23:00
Zondag: 16:00 - 22:00
","Stel je eigen pokebowl samen, Pokebowls, Crunchy rolls, Sushi, Hosomaki, Warme gerechten, Salades, ","4,2, op basis van 33 beoordelingen",Bezorgen vanaf 16:00,,"€ 12,50",https://www.thuisbezorgd.nl/menu/poke-time-tiel-1
4001,Mizu Sushi,"Nieuweweg 25, 4001NP Tiel, ","Maandag: 16:15 - 21:00
Dinsdag: Gesloten voor bezorging
Woensdag: 16:15 - 21:00
Donderdag: 16:15 - 21:00
Vrijdag: 16:15 - 21:00
Zaterdag: 16:15 - 21:00
Zondag: 16:15 - 21:00
","Duurzaamheid, Nigiri, Gunkan, Maki's, Inside out maki's, Futo en crispy maki, Mizu specials, Handrollen, ","4,5, op basis van 716 beoordelingen",Bezorgen vanaf 16:15,"€ 2,00","€ 14,00",https://www.thuisbezorgd.nl/menu/mizu-sushi
4001,Grieks Specialiteitenrestaurant Rhodos,"Vleesstraat 10, 4001BC Tiel, ","Maandag: Gesloten voor bezorging
Dinsdag: 16:15 - 21:30
Woensdag: 16:15 - 21:30
Donderdag: 16:15 - 21:30
Vrijdag: 16:15 - 21:30
Zaterdag: 16:15 - 21:30
Zondag: 16:15 - 21:30
","Koude voorgerechten, Warme voorgerechten, Pita boxen, Vlees van de grill, Specialiteiten van het huis, ","4,8, op basis van 1.945 beoordelingen",Bezorgen vanaf 16:15,"€ 2,50","€ 20,00",https://www.thuisbezorgd.nl/menu/rhodos-grieks-restaurant-tiel-1
